@relation training_set

@attribute ISBAD {FALSE,TRUE}
@attribute HTML_NUMCHARACTERS numeric
@attribute HTML_PERCENTSCRIPTCONTENT numeric
@attribute HTML_PERCENTWHITESPACE numeric
@attribute HTML_PERCENTUNOWNELEMENTS numeric
@attribute HTML_NUMSCRIPTS numeric
@attribute HTML_NUMSCRIPTSWRONGEXTENTION numeric
@attribute HTML_NUMBERIFRAMES numeric
@attribute HTML_NUMUNSAFEINCLUDEDURL numeric
@attribute IP_ADDRESS_A numeric
@attribute TOKEN_SUBDOMAIN_LENGTH numeric
@attribute TOKEN_NUMBER_SUBDOMAINS numeric
@attribute TOKEN_DOMAIN_LENGTH numeric

@data
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,17
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,21
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,64,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,16
TRUE,17,0,11.764706,0,0,0,0,0,216,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,20
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,19
TRUE,17,0,11.764706,0,0,0,0,0,64,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,17
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,173,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,216,0,0,20
TRUE,17,0,11.764706,0,0,0,0,0,64,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,13
